EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction,Tenure
1,John Smith,62506,Production Technician I,MA,1983-07-10,M ,Single,2011-07-05,Active,Production       ,LinkedIn,Exceeds,4,5,14.263013698630138
2,Sarah Johnson,104437,Sr. DBA,MA,1975-05-05,M ,Married,2015-03-30,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4,3,10.526027397260274
3,Michael Williams,64955,Production Technician II,MA,1988-09-19,F,Married,2011-07-05,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,3,3,14.263013698630138
4,Emily Brown,64991,Production Technician I,MA,1988-09-27,F,Married,2008-01-07,Active,Production       ,Indeed,Fully Meets,4,5,17.756164383561643
5,David Jones,50825,Production Technician I,MA,1989-09-08,F,Divorced,2011-07-11,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,4,14.246575342465754
6,Jessica Davis,57568,Production Technician I,MA,1977-05-22,F,Single,2012-01-09,Active,Production       ,LinkedIn,Exceeds,5,5,13.747945205479452
7,Christopher Miller,95660,Software Engineer,MA,1979-05-24,F,Single,2014-11-10,Active,Engineering,LinkedIn,Fully Meets,3,3,10.90958904109589
8,Ashley Wilson,59365,Production Technician I,MA,1983-02-18,M ,Widowed,2013-09-30,Active,Production       ,Employee Referral,Fully Meets,5,4,12.021917808219179
9,Matthew Anderson,47837,Production Technician I,MA,2070-02-11,F,Single,2009-07-06,Active,Production       ,Diversity Job Fair,Fully Meets,4,3,16.26027397260274
10,Samantha Taylor,50178,IT Support,MA,1988-01-07,M ,Divorced,2015-01-05,Active,IT/IS,Indeed,Fully Meets,5,5,10.756164383561643
11,Daniel Martinez,54670,Production Technician I,MA,2074-01-12,F,Married,2011-01-10,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,4,14.745205479452055
12,Lauren Thomas,47211,Production Technician I,MA,2074-02-21,M ,Married,2012-04-02,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,3,13.517808219178082
13,Andrew Jackson,92328,Data Analyst,TX,1988-07-04,M ,Divorced,2014-11-10,Active,IT/IS,Diversity Job Fair,Exceeds,4,4,10.90958904109589
14,Elizabeth Thompson,58709,Production Technician I,MA,1983-07-20,M ,Single,2012-02-20,Active,Production       ,Google Search,Fully Meets,4,4,13.632876712328768
15,Ryan Lee,52505,Production Technician I,MA,1977-07-15,M ,Divorced,2012-09-24,Voluntarily Terminated,Production       ,On-line Web application,Fully Meets,5,5,13.038356164383561
16,Olivia Davis,57834,Production Technician I,MA,1981-10-18,M ,Single,2011-02-21,Terminated for Cause,Production       ,Google Search,Fully Meets,5,4,14.63013698630137
17,James Taylor,70131,Production Technician II,MA,2066-04-17,F,Married,2016-07-21,Active,Production       ,Employee Referral,Exceeds,4,3,9.213698630136987
18,Amanda White,59026,Production Technician I,MA,2070-10-27,F,Single,2011-04-04,Active,Production       ,Google Search,Fully Meets,5,5,14.515068493150684
19,Joshua Anderson,110000,Database Administrator,MA,1986-04-04,F,Single,2014-07-07,Terminated for Cause,IT/IS,Google Search,Fully Meets,4,4,11.254794520547945
20,Stephanie Martinez,53250,Production Technician I,MA,1979-04-06,M ,Single,2013-07-08,Active,Production       ,LinkedIn,Fully Meets,4,4,12.252054794520548
21,Robert Davis,51044,Production Technician I,MA,2070-12-22,M ,Single,2012-04-02,Active,Production       ,Google Search,Fully Meets,5,3,13.517808219178082
22,Megan Thompson,64919,Production Technician I,MA,2058-12-27,F,Divorced,2013-08-19,Active,Production       ,Indeed,Fully Meets,4,3,12.136986301369863
23,William Johnson,62910,Production Technician I,MA,1989-09-01,F,Married,2014-07-07,Active,Production       ,Indeed,Exceeds,5,3,11.254794520547945
24,Emily Wilson,66441,Production Technician II,MA,1990-09-21,F,Single,2011-04-04,Active,Production       ,CareerBuilder,Needs Improvement,2,3,14.515068493150684
25,Benjamin Clark,57815,Production Technician II,MA,2067-01-16,F,Single,2011-01-10,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4,5,14.745205479452055
26,Nicole Lewis,103613,Enterprise Architect,CT,2064-07-30,M ,Single,2014-02-17,Terminated for Cause,IT/IS,LinkedIn,Fully Meets,3,5,11.638356164383561
